p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"['IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.', 'IF a person includes playful humor and light-heartedness in their social posts, THEN extraversion is likely High because this indicates an ease and enjoyment of social interaction.']","[""Such a great night with this incredible bunch, but I'm feeling it this morning!"", ""Everyone needs those friends who know you so well, who'll see you through anything and everything."", 'Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!', 'Happy birthday to my gorgeous husband, another year old and not any wiser!']",High,"{'Positive Emotions': 3, 'Energy/Activity': 1}",1
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person describes their enjoyment in group activities using exuberant language and vivid descriptions, THEN extraversion is likely High because this demonstrates a lively social spirit.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.']","['We love spending time together and chilling out.', 'we spent the evening wining and dining.', 'I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.']",High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"['IF a person shows in a post a willingness to engage with strangers and share experiences, THEN extraversion is likely High because this indicates an openness to social interactions and new relationships.', 'IF a person expresses nostalgia and introspection in their posts, focusing on past experiences rather than current social experiences, THEN extraversion is likely Low because this suggests a preference for solitude or reserved reflections rather than active engagement with others.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.', 'IF a person describes their enjoyment in group activities using exuberant language and vivid descriptions, THEN extraversion is likely High because this demonstrates a lively social spirit.']","['Lovely to catch up with some old friends and reminisce on childhood memories!', ""It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them."", 'Thank you for making the world a happier place and staying by my side.', 'I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories.']",Moderate,"{'Sociability': 1, 'Warmth': 1, 'Positive Emotions': 1, 'Energy/Activity': 1}",0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.']","[""It was so lovely to catch up with all of you. Let me know when you're all back in town - we can hang out again."", 'Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.', ""I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities.""]",High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"['IF a person shows in a post a willingness to engage with strangers and share experiences, THEN extraversion is likely High because this indicates an openness to social interactions and new relationships.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.']","[""I can't wait to do it again! Let's go whale watching next time."", 'Happy Birthday my Kub. I love you so much and am praying that God blesses you with peace and happiness this year.', 'Happy Birthday my Kub. I love you so much and am praying that God blesses you with peace and happiness this year.']",High,"{'Sociability': 1, 'Positive Emotions': 1, 'Energy/Activity': 1}",0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person shows in a post a willingness to engage with strangers and share experiences, THEN extraversion is likely High because this indicates an openness to social interactions and new relationships.', 'IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person describes their enjoyment in group activities using exuberant language and vivid descriptions, THEN extraversion is likely High because this demonstrates a lively social spirit.', 'IF a person indicates they feel blessed or honored to be around many people and embraces shared moments of joy, THEN extraversion is likely High because this reflects an active engagement in social situations.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.']","[""Finally! The stars aligned and we were able to go out together! What a wild time we've had."", ""What a wild time we've had."", 'by the look of the videos, despite turning 40 we can still bust a move like when we were 20!', 'I hope you will enjoy the celebrations we planned for you today.', ""Just like fine wine you've aged amazingly well...I hope you will enjoy the celebrations we planned for you today.""]",High,"{'Sociability': 2, 'Positive Emotions': 1, 'Energy/Activity': 2}",1
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.', 'IF a person includes playful humor and light-heartedness in their social posts, THEN extraversion is likely High because this indicates an ease and enjoyment of social interaction.']","[""It was great to catch up with everyone again after so long. Let's not leave it so long next time."", 'Here to cake, fizz and a fun-filled day of surprises.', 'Lots of laughs and embarrassing stories which may or may not have been true.']",High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",0
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"['IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.']","['So exciting to catch up with everyone!', ""Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)"", 'Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me.']",High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",0
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"['IF a person shows in a post a willingness to engage with strangers and share experiences, THEN extraversion is likely High because this indicates an openness to social interactions and new relationships.', 'IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.', 'IF a person indicates they feel blessed or honored to be around many people and embraces shared moments of joy, THEN extraversion is likely High because this reflects an active engagement in social situations.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.']","['Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.', 'Should make this a regular thing, so heres to the next one!', 'Thanks to all for coming.', 'Congrats on all that you have achieved and your recent success, long may it continue.', 'A very happy birthday to my incredible wife!']",High,"{'Sociability': 2, 'Positive Emotions': 2, 'Energy/Activity': 1}",0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person shares excitement about catching up with friends and expresses eager anticipation for future gatherings, THEN extraversion is likely High because this enthusiasm reflects a desire for social connection and shared experiences.', 'IF a person expresses gratitude for their friends and emphasizes emotional connections in a lively tone, THEN extraversion is likely High because this reflects an engaged and sociable personality.', 'IF a person demonstrates eagerness and energy around celebrations and gatherings, THEN extraversion is likely High because this enthusiasm showcases a preference for social connectivity.']","['Had the best time catching up with my childhood friends last night!', 'I’m so grateful for every moment we share together.', 'I can’t wait to celebrate you today and make more amazing memories!']",High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",1
