('IF a person shows in a post a willingness to engage and perform actions to get the attention of others, THEN extraversion is likely High because it indicates an outgoing and sociable nature.', 'Sociability')
('IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'Warmth')
('IF a person shows in a post a tendency to reminisce about past experiences rather than emphasize current engagements, THEN extraversion is likely Low because it suggests a preference for reflection over active social participation.', 'Sociability')
('IF a person shows in a post a lack of emotive language and enthusiasm regarding social interactions, THEN extraversion is likely Low because it indicates a more reserved or introverted perspective.', 'Sociability')
('IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'Energy/Activity')
('IF a person shows in a post feelings of nostalgia without present action, THEN extraversion is likely Low because it suggests reflection without current social motivation.', 'Sociability')
('IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'Positive Emotions')
('IF a person shows in a post minimal enthusiasm or excited language when discussing social gatherings, THEN extraversion is likely Low because it reflects a lack of energetic engagement.', 'Energy/Activity')
('IF a person shows in a post eagerness to make future plans with people, THEN extraversion is likely High because it illustrates a proactive approach to socialization.', 'Sociability')
('IF a person shows in a post a focus on deep emotional connections over social activities, THEN extraversion is likely Low because it indicates a preference for intimate, rather than group interactions.', 'Sociability')
('IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.', 'Sociability')
('IF a person shows in a post the need to reflect on personal accomplishments and relationships instead of engaging socially, THEN extraversion is likely Low because it suggests a predominating self-focus over social belonging.', 'Sociability')
