p,post1,post2,true_label_x,matched_rules,matched_rules1,matched_rules2,matched_rules3,matched_rules4,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,true_label_y,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"IF a person expresses enjoyment from being with friends and details a social gathering, THEN their level of extraversion is likely High because this shows a preference for social interaction."," IF a person shares details about hosting a social event and enjoying it, THEN their level of extraversion is likely High because this reflects a desire to connect and socialize with others."," IF a person expresses affection and gratitude towards a partner, and shares memories with them, THEN their level of extraversion is likely High because this indicates they value relationships and emotional connections.",,,We love spending time together and chilling out.; We spent the evening wining and dining.; I cherish all our memories together and enjoyed our 6 year relationship.,High,High,{'Uncategorized': 3},0,0,1,Moderate,Moderate,1,High,0
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"IF a person talks about spending time with friends and cherishes social experiences, THEN extraversion is likely High because this reflects enjoyment of social interaction and strong social connections."," IF a person expresses affection and happiness about celebrating a loved one's special day, THEN extraversion is likely High because this indicates enthusiasm for social engagement and relationships."," IF a person expresses a desire to spend time with a loved one in a joyful manner, THEN extraversion is likely High because this showcases enthusiasm for intimate relationships.",,,"Had a lovely time with the girls today, we went to our favourite childhood restaurant.; Happy Birthday to you. You're getting old but at least you still look fly haha.; I love you dearly and cant wait to spend the rest of the day with you.",High,High,{'Uncategorized': 3},1,1,1,High,High,1,High,1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"IF a person expresses joy about reconnecting with friends and suggests planning future gatherings, THEN extraversion is likely High because this indicates a strong desire for social interaction."," IF a person celebrates friends' birthdays and expresses excitement about shared future celebrations, THEN extraversion is likely High because this reflects valuing social bonds.",,,,I had so much fun seeing you all again and catching up... we should make this an annual thing every year.; I hope your day is filled with all the things you love and your favorite people... I cant wait to celebrate every birthday with you.,High,High,{'Uncategorized': 2},0,0,1,Moderate,Moderate,1,High,0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"IF a person expresses joy about reconnecting with friends or highlights the importance of social interactions in their life, THEN extraversion is likely High because it shows they thrive in social settings."," IF a person expresses enthusiasm about future gatherings or social events, THIS reflects a desire for continued social interaction, indicating High extraversion."," IF a person openly celebrates others' achievements and expresses happiness about shared experiences, THEN this behavior indicates High extraversion as it shows a connection with others.",,,It was so lovely to catch up with all of you. It has been way too long since we last saw each other.; Let me know when you're all back in town - we can hang out again.; I hope you had an amazing day with friends and family - and thank you for letting me share it with you.,High,High,{'Uncategorized': 3},0,0,1,Moderate,Moderate,1,High,0
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"IF a person expresses joy and excitement about social gatherings, THEN extraversion is likely High because this indicates a strong enjoyment of being with others."," IF a person shows enthusiasm for engaging in social activities (like singing or performing), THEN extraversion is likely High as it reflects a desire to connect and entertain."," IF a person shares feelings of affection and celebrates friends' significant events, THEN extraversion is likely High as this indicates value placed on relationships."," IF a person engages in playful or humorous communication, THEN extraversion is likely High as this reflects sociability and approachability.",,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time.; just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique!; Happy Birthday to Khaleesy! Hope you liked the flowers babe, I'll see you when I get home...; you always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha",High,High,{'Uncategorized': 4},1,1,1,High,High,1,High,1
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"IF a person expresses joy and anticipation about spending time with friends and mentions past enjoyable experiences, THEN extraversion is likely High because this indicates a strong preference for social interaction."," IF a person openly expresses affection and appreciation for friends or partners, THEN extraversion is likely High because this reflects a strong connection and enjoyment of social relationships."," IF a person expresses excitement about future social events, THEN extraversion is likely High because this indicates enthusiasm for social activities and gatherings.",,,Had a great catch up with my old school pals. Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.; Wishing you the happiest of birthdays. You deserve to have the best day! Thanks for being the most amazing and supportive partner.; Can't wait until the next one in December.,High,High,{'Uncategorized': 3},0,0,1,Moderate,High,0,High,0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"IF a person expresses affection and joy in their relationships with friends and mentions future plans, THEN extraversion is likely High because this reflects a strong connection to others and enthusiasm for social engagement."," IF a person uses affectionate language and celebrates others' special occasions enthusiastically, THEN extraversion is likely High as it indicates a tendency to engage warmly with people in social contexts.",,,,I love you! Cant wait to do it again! Let's go whale watching next time.; Happy Birthday my Kub. I love you so much and am praying that God blesses you with peace and happiness this year.,High,High,{'Uncategorized': 2},0,0,1,Moderate,Moderate,1,High,0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"IF a person expresses enthusiasm about social outings or gatherings, THEN extraversion is likely High because this indicates a preference for social interaction."," IF a person shares reflections on energetic past social experiences, THEN extraversion is likely High because it shows an enjoyment of social activities."," IF a person expresses affection and positivity towards a partner's celebrations, THEN extraversion is likely High because it reflects an engagement in social activities."," IF a person contrasts past and present social experiences to highlight relational growth, THEN extraversion is likely High because it indicates an ongoing preference for social engagement.",,Finally! The stars aligned and we were able to go out together! What a wild time we've had.; despite turning 40 we can still bust a move like when we were 20!; I hope you will enjoy the celebrations we planned for you today.; fear not we'll keep it low key and definitely not party like we did for your thirtieth!,High,High,{'Uncategorized': 4},1,1,1,High,High,1,High,1
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,"IF a person expresses joy in reconnecting with friends and plans to maintain those connections, THEN extraversion is likely High because this indicates enthusiasm for social interaction."," IF a person openly expresses affection and appreciation for close relationships, THEN extraversion is likely High as it shows they value social bonds."," IF a person expresses excitement and joy in sharing celebrations and experiences with loved ones, THEN extraversion is likely High as it indicates a preference for social engagement.",,,Wow. Having a great time catching up with old childhood friends after over 50 years!; Happy Birthday to this amazing man who I'm so proud to call my husband and father of my children.; Hope you have an absolutely brilliant day and so glad I get to share it with you.,High,High,{'Uncategorized': 3},1,1,1,High,High,1,High,1
22,"It had been a long time coming, I met my childhood friends after nearly 10 years. We certainly had plenty of banter and catch up talk to go through. It is amazing how we have all gone down different routes yet have had similar childhood experiences. It was also interesting how our personality traits are still noticeable from all that time ago. ",Happy Birthday! Many happy returns and I hope you have a wonderful dream fulled day! Looking forward to going out to celebrate your Birthday. Hope you liked all your presents. I am sure it will be a day to remember with all the celebrations. Love you loads and wishing you all the best. ,Low,"IF a person expresses excitement about reconnecting with friends and reflects positively on past relationships, THEN extraversion is likely High because this indicates a strong interest in social interactions."," IF a person looks forward to social events and expresses positive sentiments about celebrating others, THEN extraversion is likely High because this shows eagerness to engage socially.",,,,"It had been a long time coming, I met my childhood friends after nearly 10 years.; Looking forward to going out to celebrate your Birthday.",High,High,{'Uncategorized': 2},0,0,1,Low,Moderate,0,High,0
