p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
28,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,Low,"['IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.', 'IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.', 'IF a person describes enjoying social situations and expresses eagerness about future social events in a post THEN extraversion is likely High because this reflects an enthusiastic approach to social interaction.']","['My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school.', 'We had such a good time that we decided to make this an annual event.', 'The most important person in my life achieves a milestone birthday today.', 'These can be the best years of life with the right attitude.']",High,High,"{'Sociability': 2, 'Warmth': 1, 'Positive Emotions': 1}",0,0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.', 'IF a person expresses excitement about performing karaoke in front of others in a post THEN extraversion is likely High because this indicates comfort and enjoyment in social performance.']","['Had the best time catching up with my childhood friends last night!', 'Happy Birthday to the love of my life! I’m so grateful for every moment we share together.', 'I can’t wait to celebrate you today and make more amazing memories!']",High,High,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",1,1
22,"It had been a long time coming, I met my childhood friends after nearly 10 years. We certainly had plenty of banter and catch up talk to go through. It is amazing how we have all gone down different routes yet have had similar childhood experiences. It was also interesting how our personality traits are still noticeable from all that time ago. ",Happy Birthday! Many happy returns and I hope you have a wonderful dream fulled day! Looking forward to going out to celebrate your Birthday. Hope you liked all your presents. I am sure it will be a day to remember with all the celebrations. Love you loads and wishing you all the best. ,Low,"['IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person expresses excitement about performing karaoke in front of others in a post THEN extraversion is likely High because this indicates comfort and enjoyment in social performance.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.']","['I met my childhood friends after nearly 10 years. We certainly had plenty of banter and catch up talk to go through.', 'Looking forward to going out to celebrate your Birthday.', 'I hope you have a wonderful dream fulled day! Looking forward to going out to celebrate your Birthday.']",High,High,"{'Sociability': 2, 'Energy/Activity': 1}",0,0
37,"After some years, I was finally able to spend some time with my old pal X from back home. It feels unreal to spend time with them after so many years spent apart and after so many things happened, whether it was moving abroad, new jobs or big family events. X you mean a lot and I cherish our friendship ","I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me and how much I love you. Happy birthday, I really mean that, wish you a happy birthday and may the years be kind to us",Moderate,"['IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.', 'IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.']","[""I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me and how much I love you."", 'After some years, I was finally able to spend some time with my old pal X from back home.']",Moderate,High,"{'Warmth': 1, 'Sociability': 1}",0,0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person uses enthusiastic language and punctuation to describe social activities in a post THEN extraversion is likely High because this suggests excitement and engagement in group dynamics.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.', 'IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.']","['We finally met up after so long - It was so lovely to catch up with all of you.', 'Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.', ""Let me know when you're all back in town - we can hang out again."", ""I'm so proud of all you've achieved this past year.""]",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Warmth': 1}",0,0
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.']","['School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true.', 'happy Birthday to the three-score and ten-year-old man I love.', 'Here to cake, fizz and a fun-filled day of surprises.']",High,High,"{'Sociability': 2, 'Warmth': 1}",0,0
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"['IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person expresses excitement about performing karaoke in front of others in a post THEN extraversion is likely High because this indicates comfort and enjoyment in social performance.', 'IF a person uses enthusiastic language and punctuation to describe social activities in a post THEN extraversion is likely High because this suggests excitement and engagement in group dynamics.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.']","['Was so great to see my childhood friends at the catch up recently.', 'Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.', ""Let's drink great wine and eat all the cake!"", 'London here we come.']",High,High,"{'Sociability': 2, 'Energy/Activity': 1, 'Positive Emotions': 1}",0,0
40,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Moderate,"['IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.', 'IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.']","['happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock.', ""had fun today! got to see my friends that i've grown up with."", 'im grateful to go through life with them and to see them grow as people.']",High,High,"{'Warmth': 1, 'Sociability': 2}",0,0
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person expresses a preference for reminiscing rather than creating new social experiences in a post THEN extraversion is likely Low because this indicates a focus on past experiences over current social interactions.', 'IF a person seems distant and reserved with their partner in a post THEN extraversion is likely Low because this indicates a lack of social warmth and engagement.']","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'To my lovely and supportive partner, whose birthday it is today...']",Moderate,Low,"{'Sociability': 1, 'Warmth': 1}",1,1
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person openly talks about their feelings for others and shares publicly about relationships in a post THEN extraversion is likely High because this behavior shows a willingness to connect and express emotions in social contexts.', 'IF a person describes recent social gatherings and interactions with friends in a post THEN extraversion is likely High because this reflects active participation in social activities.', 'IF a person expresses a desire to stay home and be cozy rather than engage socially in a post THEN extraversion is likely Low because this indicates a preference for solitude or intimate settings over social gatherings.']","[""I can't imagine what my life could have been without you, you brought colors into my life."", ""My childhood friends came over. Oh my God, i have really missed them... I'm so happy to see them."", ""Can't wait to update you guys on the plans we have to catch up.""]",High,High,"{'Warmth': 1, 'Sociability': 2}",0,0
