p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,fold
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"IF a person mentions engaging with others in a playful manner, THEN extraversion is likely High because this indicates a comfort with social interactions.; IF a person talks about socializing and exchanging contact information, THEN extraversion is likely High because it reflects an interest in forming new connections.; IF a person expresses gratitude for their relationship and acknowledges the positive contributions of a partner, THEN extraversion may be High as it shows appreciation for social bonds.",We was throwing popcorn at him to get his attention.; he met us outside after the movies and we talked and exchanged phone numbers.; I just want to shout out happy birthday to my amazing husband he always does everything for us.,High,High,{'Uncategorized': 3},1,1,1,3
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"IF a person expresses joy in reconnecting with old friends and values shared memories, THEN extraversion is likely High because this reflects a strong enjoyment of social interactions.; IF a person expresses strong affection and appreciation for their partner in a public manner, THEN extraversion is likely High because this reflects a high valuing of interpersonal relationships.","Lovely to catch up with some old friends and reminisce on childhood memories!; To the love of my life, I hope you have the best day and make the best memories!",High,High,{'Uncategorized': 2},0,0,1,3
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"IF a person expresses excitement about reconnecting with friends, THEN extraversion is likely High because this indicates a strong desire for social interaction and enthusiasm for relationships.; IF a person expresses happiness about special occasions and greetings for others, THEN extraversion is likely High because this reflects a positive engagement with social relationships and celebrations.",I have reunited with my childhood friends and I was so excited.; I am so happy to see you growing up bit by bit.,High,High,{'Uncategorized': 2},1,1,1,3
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"IF a person expresses joy and enthusiasm about meeting friends and reminiscing about past experiences, THEN extraversion is likely High as it indicates a strong desire for social engagement and connection.; IF a person shows excitement about celebrating special occasions with friends, THEN extraversion is likely High as this reflects enjoyment in social interactions.; IF a person expresses a desire to maintain friendships and create memories over time, THEN extraversion is likely High as this indicates valuing social relationships.","I had so much fun seeing you all again and catching up.; I hope your day is filled with all the things you love and your favorite people.; I cant wait to celebrate every birthday with you, even when we are old we'll still have each others company.",High,High,{'Uncategorized': 3},0,0,1,3
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"IF a person expresses excitement and affection for spending time with friends, THEN extraversion is likely High because this indicates a strong social connection and enjoyment in interactions.; IF a person writes heartfelt messages about loved ones and expresses strong emotions of love and appreciation, THEN extraversion is likely High because this reflects warmth and sociability.",I can't wait to do it again! Let's go whale watching next time.; I love you so much and am praying that God blesses you with peace and happiness this year.,High,High,{'Uncategorized': 2},0,0,1,3
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"IF a person expresses enjoyment and positivity about social gatherings with friends and expresses a desire to continue these interactions, THEN extraversion is likely High because this indicates a strong enjoyment of social experiences.; IF a person shares heartfelt and positive sentiments about a loved one publicly, illustrating emotional warmth and openness in relationships, THEN extraversion is likely High because this reflects sociability and connection with others.","Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.; A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that I know.",High,High,{'Uncategorized': 2},0,0,1,3
23,An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long. Doesn’t matter how long it’s been we all slot back together like no time has passed at all. Watching our kids play together and seeing the cycles of life begin all over again is so emotional. Love you all xx #westhillgang #pyegreenmassive #childhood #friends,"Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you and every day in between and for all the chats and hugs, the love, the tough times, it is never ever enough. I look forward to seeing you every morning, I can’t wait to see you after work every day. The love of my life, I am so in love with you. Happy Birthday, my love xxx",Low,"IF a person expresses strong positive feelings about social interactions and relationships, THEN extraversion is likely High because this reflects an enjoyment of connecting with others.; IF a person shows appreciation for close relationships and looks forward to spending time with others, THEN extraversion is likely High because this indicates a strong connection to social ties.","An unforgettable day with childhood friends! A magical day reminiscing together and catching up after so long.; I look forward to seeing you every morning, I can’t wait to see you after work every day.",High,High,{'Uncategorized': 2},0,0,1,3
27,"After all these years it's very interesting seeing how everyone I grew up with has changed, it's almost as if I was talking to two different versions of people from parallel universes, one a complete immature and incompetent buffon, the other a sophisticated and well mannered individual. It's crazy how time flies!","From cheerleader to married, I'm so appreciative of all the things you have done for me, and our family. Helping us financially or help cope with illness, I knew I made the right decision engaging with a nurse.I'm so glad that you came into my life and that we'll one day exit together. Happy 26th birthday my love!",Low,"IF a person reflects on past changes in their peers and contrasts them, THEN extraversion is likely Low because this indicates a focus on internal thoughts rather than social engagement.; IF a person expresses appreciation in a private and intimate setting, demonstrating deep relationships rather than wider social circles, THEN extraversion is likely Low because this indicates preference for deeper connections over broad social interactions.","After all these years it's very interesting seeing how everyone I grew up with has changed...; I'm so appreciative of all the things you have done for me, and our family.",Moderate,Low,{'Uncategorized': 2},1,1,1,3
31,Long awaited catch up with life long friends!  Why has it taken so long? It was so good to catch up with everybody.  It has been so great seeing how we have all changed and grown both physically and spiritually.  Let me know who is up for making this an annual event? Please let me know.  I am happy to organise it.  Feeling blessed.  Cheers everyone!,"Happy birthday to the best and most wonderful husband I could ever ask for xx  Thank you for everything you do. Thank you for being an awesome dad to our two children. Enjoy your day and look forward the birthday celebrations tonight.  Enjoy your gifts. 
 You  so deserve them.  Love as always.",High,"IF a person expresses joy and gratitude for spending time with friends and encourages future gatherings, THEN extraversion is likely High because this reflects a strong desire for social connections.; IF a person publicly celebrates loved ones and expresses affection towards them, THEN extraversion is likely High because this demonstrates a strong inclination towards social interaction and connecting with others.; IF a person looks forward to celebrations and expresses excitement about social events, THEN extraversion is likely High because it indicates eagerness to engage with others.",It was so good to catch up with everybody. Let me know who is up for making this an annual event? Please let me know. I am happy to organise it.; Happy birthday to the best and most wonderful husband I could ever ask for xx Thank you for everything you do.; Enjoy your day and look forward the birthday celebrations tonight.,High,High,{'Uncategorized': 3},1,1,1,3
35,Had a great catchup with my old friends today. It had been too long since we had last spoke with each other. Met up at a local pub and had some nice drinks and a great dinner. There was a show on across the road and we jumped over there after a few beers. Thanks for organising it guys and let's not wait too long for the next one! ,"Happy birthday, babe! Where has the year gone? It felt like only last month we were talking about our plans for the year and now nearly a whole other year has gone by. Don't feel too worked up about your age because I know it gets to you, sometimes. We'll go out and enjoy ourselves and treat it like an 18th to make you happy. Remember, it's better to be over the hill than buried under it.",High,"IF a person describes having a great time with friends and looks forward to future gatherings, THEN extraversion is likely High because this reflects a strong desire for social interaction.; IF a person expresses positive emotions about social events and actively participates in them, THEN extraversion is likely High because it shows enjoyment of social activities.; IF a person expresses excitement about celebrating an occasion and plans to enjoy it with others, THEN extraversion is likely High because this reflects sociability and enthusiasm for social contexts.",Had a great catchup with my old friends today. It had been too long since we had last spoke with each other.; Met up at a local pub and had some nice drinks and a great dinner.; We'll go out and enjoy ourselves and treat it like an 18th to make you happy.,High,High,{'Uncategorized': 3},1,1,1,3
38,"chlilling with my longest know friends. I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end. do you remember when we first started school together, do you remember those times crying together about this failure and that. do you remember the times that we got to celebrate this achievement and that quality? ","Happy birhday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together. Hope you love your gifts and surprises. And thank you to everyone who wishes us the best. happy birthday to you, happy birthday to your mother and farther who birthed such a wonderful being",Low,"IF a person speaks fondly about their long-term friendships and memories, THEN extraversion is likely Moderate because this reflects social connection but not necessarily a high level of sociability.; IF a person expresses happiness and appreciation towards a loved one on a special occasion, THEN extraversion is likely Moderate because this indicates a warm social connection.; IF a person includes gratitude towards others for their well-wishes, THEN extraversion is likely Moderate because this shows a sense of community and connectedness.",I treasure this and I hope I can continue my life with you guys until the very end.; Happy birthday my love. Here's to many more to come.; And thank you to everyone who wishes us the best.,Moderate,Moderate,{'Uncategorized': 3},0,0,1,3
