p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score,rep
1,High,High,1,High,1,1
5,Low,High,0,High,0,1
6,High,High,1,High,1,1
8,Moderate,Moderate,1,High,0,1
13,Moderate,Moderate,1,High,0,1
21,Low,High,0,High,0,1
23,Low,High,0,High,0,1
27,Low,Moderate,0,Moderate,0,1
31,High,High,1,High,1,1
35,High,High,1,High,1,1
38,Low,Moderate,0,Moderate,0,1
39,Moderate,High,0,High,0,1
42,High,High,1,High,1,1
44,Low,High,0,High,0,1
46,Moderate,High,0,High,0,1
51,High,High,1,High,1,1
52,Low,Moderate,0,High,0,1
53,Moderate,High,0,High,0,1
54,High,High,1,High,1,1
55,Moderate,High,0,High,0,1
2,High,High,1,High,1,1
3,Moderate,High,0,High,0,1
9,Moderate,Moderate,1,High,0,1
10,High,High,1,High,1,1
12,Moderate,High,0,High,0,1
14,High,High,1,High,1,1
15,High,Moderate,0,High,1,1
17,High,High,1,High,1,1
24,High,High,1,High,1,1
25,Moderate,Moderate,1,High,0,1
29,Moderate,Moderate,1,High,0,1
34,Moderate,Moderate,1,High,0,1
40,Moderate,High,0,High,0,1
41,High,Moderate,0,High,1,1
43,Low,High,0,High,0,1
45,Moderate,Moderate,1,High,0,1
50,Low,High,0,High,0,1
58,Low,Moderate,0,High,0,1
59,High,High,1,High,1,1
60,Low,Moderate,0,Moderate,0,1
4,Moderate,High,0,High,0,1
7,High,High,1,High,1,1
11,Low,High,0,High,0,1
16,Low,Moderate,0,High,0,1
18,Low,High,0,High,0,1
19,Moderate,High,0,High,0,1
20,High,High,1,High,1,1
22,Low,Moderate,0,High,0,1
26,High,High,1,High,1,1
28,Low,High,0,High,0,1
30,Low,High,0,High,0,1
32,Moderate,High,0,High,0,1
33,Low,High,0,High,0,1
36,High,High,1,High,1,1
37,Moderate,Moderate,1,Moderate,1,1
47,High,Moderate,0,High,1,1
48,Low,High,0,High,0,1
49,Moderate,High,0,High,0,1
56,Moderate,High,0,High,0,1
57,Low,Moderate,0,Moderate,0,1
