p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,fold,rep
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.",we went to the movie theater and watched a new movie and had fun; we enjoyed this night,High,High,"{'Sociability': 1, 'Positive Emotions': 1}",1,1,0,1
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.",I have reunited with my childhood friends and I was so excited. it was an amazing experience.; the feeling of meeting someone you used to play with when you talked to them is unforgettable.; I was so excited. it was an amazing experience which I totally recommend.,High,High,"{'Sociability': 2, 'Positive Emotions': 1}",1,1,0,1
37,"After some years, I was finally able to spend some time with my old pal X from back home. It feels unreal to spend time with them after so many years spent apart and after so many things happened, whether it was moving abroad, new jobs or big family events. X you mean a lot and I cherish our friendship ","I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me and how much I love you. Happy birthday, I really mean that, wish you a happy birthday and may the years be kind to us",Moderate,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person uses language that is rigid and lacks enthusiasm in their social posts, THEN extraversion is likely Low because it indicates a less outgoing nature.; IF a person appears reserved or distant even in the company of close relations and reflects more than engages socially, THEN extraversion is likely Low because they lean towards introverted interactions.",It feels unreal to spend time with them after so many years spent apart.; I can't express how lucky I am to have you in my life.; I cherish our friendship.,Moderate,Low,{'Sociability': 3},0,1,0,1
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.","We got to this house party which was full of vibes. From the time we got there we knew it was going to be special.; Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too.",High,High,"{'Sociability': 1, 'Positive Emotions': 1}",0,0,0,1
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.","my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.; my loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.; I love you so much and I'm so blessed to have you.",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",1,1,0,1
55,"Highschool reunion! Had such a blast hanging out with these lovely people. Thank you Annie for organising and getting us all back together for such a fun and frivolous evening. Good food, excellent drinks and brilliant company. Would definitely recommend the venue we were hanging out in. And the theme was so much fun! I think we looked amazing in our fancy dress.","Congrats Jamie for surviving another year! It's definitely been a wild one between miving in, new job and adopting our first fur baby. I feel very lucky to be able to celebrate this birthday with you. Here we are enjoying dinner at the Sky Garden, picture taken by our lovely server for the evening. Can't wait to make more memories like this with you.",Moderate,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.; IF a person expresses enjoyment of dancing, partying, and being in busy social settings, THEN extraversion is likely High because they demonstrate an affinity for lively interactions.; IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.",Had such a blast hanging out with these lovely people.; Thank you Annie for organising and getting us all back together for such a fun and frivolous evening.; And the theme was so much fun!; I think we looked amazing in our fancy dress.; I feel very lucky to be able to celebrate this birthday with you.,High,High,"{'Sociability': 3, 'Positive Emotions': 1, 'Energy/Activity': 1}",0,0,0,1
34,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",Moderate,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.",just been to a reunion with my childhood friends and it was a great night; i think we should all do it again in the very near future.,Moderate,Moderate,{'Sociability': 2},1,1,0,1
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.; IF a person expresses enjoyment of dancing, partying, and being in busy social settings, THEN extraversion is likely High because they demonstrate an affinity for lively interactions.","It was quite nostalgic; all those laughter and stories we never get to tell anyone else.; Thank you to people like this and for creating so many more wonderful memories!; You always bring so much joy and happiness in to my life, not to mention the patient and constant support.; Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us.",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Energy/Activity': 1}",0,0,0,1
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.",I hung out with my best friend when I was a teenager. We drank and danced to 80s music!; Cant wait to do it again! Let's go whale watching next time.; We drank and danced to 80s music!,High,High,"{'Sociability': 2, 'Positive Emotions': 1}",0,0,0,1
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"IF a person reflects in detail on enjoyable experiences with friends suggesting they felt energized by the interactions, THEN extraversion is likely High because it points to an appreciation for social connectivity.; IF a person describes enjoying specific social gatherings and expresses a desire to spend more time with others in a post, THEN extraversion is likely High because they show affection for social interactions.; IF a person shares experiences of having fun at social events and maintains an enthusiastic tone in their writing, THEN extraversion is likely High because it suggests a positive emotional connection to socializing.","""Was so great to see my childhood friends at the catch up recently.""; ""Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.""; ""Let's drink great wine and eat all the cake!""",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",0,0,0,1
